GOID	Ontology	Definition	Level
GO:0031879	MF	type 2 somatostatin receptor binding	8
GO:0031880	MF	type 3 somatostatin receptor binding	8
GO:0031881	MF	type 4 somatostatin receptor binding	8
GO:0031882	MF	type 5 somatostatin receptor binding	8
GO:0031883	MF	taste receptor binding	6
GO:0031884	MF	type 1 member 1 taste receptor binding	7
GO:0031885	MF	type 1 member 2 taste receptor binding	7
GO:0031886	MF	type 1 member 3 taste receptor binding	7
GO:0031887	BP	lipid particle transport along microtubule	6
GO:0031889	MF	urotensin receptor binding	6
GO:0031890	MF	vasoactive intestinal polypeptide receptor binding	7
GO:0031891	MF	type 1 vasoactive intestinal polypeptide receptor binding	8
GO:0031892	MF	type 2 vasoactive intestinal polypeptide receptor binding	8
GO:0031893	MF	vasopressin receptor binding	6
GO:0031894	MF	V1A vasopressin receptor binding	7
GO:0031895	MF	V1B vasopressin receptor binding	7
GO:0031896	MF	V2 vasopressin receptor binding	7
GO:0031897	CC	Tic complex	3
GO:0031898	CC	chromoplast envelope	6
GO:0031899	CC	chromoplast inner membrane	6
GO:0031900	CC	chromoplast outer membrane	6
GO:0031901	CC	early endosome membrane	5
GO:0031902	CC	late endosome membrane	5
GO:0031903	CC	microbody membrane	4
GO:0031904	CC	endosome lumen	5
GO:0031905	CC	early endosome lumen	6
GO:0031906	CC	late endosome lumen	6
GO:0031907	CC	microbody lumen	5
GO:0031908	CC	glyoxysomal lumen	7
GO:0031910	CC	cytostome	4
GO:0031911	CC	cytoproct	4
GO:0031912	CC	oral apparatus	4
GO:0031913	CC	contractile vacuole pore	4
GO:0031914	BP	negative regulation of synaptic plasticity	5
GO:0031915	BP	positive regulation of synaptic plasticity	5
GO:0031916	BP	regulation of synaptic metaplasticity	5
GO:0031917	BP	negative regulation of synaptic metaplasticity	6
GO:0031918	BP	positive regulation of synaptic metaplasticity	6
GO:0031919	BP	vitamin B6 transport	5
GO:0031920	BP	pyridoxal transport	6
GO:0031921	BP	pyridoxal phosphate transport	6
GO:0031922	BP	pyridoxamine transport	6
GO:0031923	BP	pyridoxine transport	6
GO:0031924	MF	vitamin B6 transporter activity	5
GO:0031925	MF	pyridoxal transmembrane transporter activity	5
GO:0031926	MF	pyridoxal phosphate transmembrane transporter activity	5
GO:0031927	MF	pyridoxamine transmembrane transporter activity	5
GO:0031928	MF	pyridoxine transmembrane transporter activity	5
GO:0031929	BP	TOR signaling cascade	5
GO:0031930	BP	mitochondria-nucleus signaling pathway	4
GO:0031931	CC	TORC1 complex	4
GO:0031932	CC	TORC2 complex	4
GO:0031933	CC	telomeric heterochromatin	6
GO:0031934	CC	mating-type region heterochromatin	7
GO:0031935	BP	regulation of chromatin silencing	5
GO:0031936	BP	negative regulation of chromatin silencing	5
GO:0031937	BP	positive regulation of chromatin silencing	4
GO:0031938	BP	regulation of chromatin silencing at telomere	6
GO:0031939	BP	negative regulation of chromatin silencing at telomere	6
GO:0031940	BP	positive regulation of chromatin silencing at telomere	5
GO:0031941	CC	filamentous actin	4
GO:0031942	CC	i-AAA complex	4
GO:0031943	BP	regulation of glucocorticoid metabolic process	5
GO:0031944	BP	negative regulation of glucocorticoid metabolic process	5
GO:0031945	BP	positive regulation of glucocorticoid metabolic process	5
GO:0031946	BP	regulation of glucocorticoid biosynthetic process	6
GO:0031947	BP	negative regulation of glucocorticoid biosynthetic process	6
GO:0031948	BP	positive regulation of glucocorticoid biosynthetic process	6
GO:0031949	BP	regulation of glucocorticoid catabolic process	6
GO:0031950	BP	negative regulation of glucocorticoid catabolic process	6
GO:0031951	BP	positive regulation of glucocorticoid catabolic process	6
GO:0031952	BP	regulation of protein autophosphorylation	8
GO:0031953	BP	negative regulation of protein autophosphorylation	8
GO:0031954	BP	positive regulation of protein autophosphorylation	8
GO:0031955	MF	short-chain fatty acid-CoA ligase activity	6
GO:0031956	MF	medium-chain fatty acid-CoA ligase activity	6
GO:0031957	MF	very long-chain fatty acid-CoA ligase activity	7
GO:0031958	BP	corticosteroid receptor signaling pathway	6
GO:0031959	BP	mineralocorticoid receptor signaling pathway	7
GO:0031960	BP	response to corticosteroid stimulus	6
GO:0031961	MF	cortisol receptor binding	9
GO:0031962	MF	mineralocorticoid receptor binding	8
GO:0031963	MF	cortisol receptor activity	6
GO:0031964	MF	beta-alanyl-histamine hydrolase activity	4
GO:0031965	CC	nuclear membrane	4
GO:0031966	CC	mitochondrial membrane	4
GO:0031967	CC	organelle envelope	4
GO:0031968	CC	organelle outer membrane	4
GO:0031969	CC	chloroplast membrane	5
GO:0031970	CC	organelle envelope lumen	3
GO:0031972	CC	chloroplast intermembrane space	5
GO:0031973	CC	chromoplast intermembrane space	5
GO:0031974	CC	membrane-enclosed lumen	2
GO:0031975	CC	envelope	3
GO:0031976	CC	plastid thylakoid	5
GO:0031977	CC	thylakoid lumen	5
GO:0031978	CC	plastid thylakoid lumen	5
GO:0031979	CC	plasma membrane-derived thylakoid lumen	4
GO:0031981	CC	nuclear lumen	5
GO:0031982	CC	vesicle	3
GO:0031983	CC	vesicle lumen	4
GO:0031984	CC	organelle subcompartment	4
GO:0031985	CC	Golgi cisterna	5
GO:0031986	CC	proteinoplast	6
GO:0031987	BP	locomotion involved in locomotory behavior	3
GO:0031988	CC	membrane-bounded vesicle	4
GO:0031989	BP	bombesin receptor signaling pathway	6
GO:0031990	BP	mRNA export from nucleus in response to heat stress	6
GO:0031991	BP	regulation of contractile ring contraction involved in cell cycle cytokinesis	4
GO:0031992	MF	energy transducer activity	3
GO:0031993	MF	light transducer activity	4
GO:0031994	MF	insulin-like growth factor I binding	6
GO:0031995	MF	insulin-like growth factor II binding	6
GO:0031996	MF	thioesterase binding	5
GO:0031997	MF	N-terminal myristoylation domain binding	5
GO:0031998	BP	regulation of fatty acid beta-oxidation	6
GO:0031999	BP	negative regulation of fatty acid beta-oxidation	6
GO:0032000	BP	positive regulation of fatty acid beta-oxidation	6
GO:0032001	MF	1,4-alpha-glucan 6-alpha-glucosyltransferase activity	7
GO:0032002	CC	interleukin-28 receptor complex	4
GO:0032003	MF	interleukin-28 receptor binding	6
GO:0032005	BP	signal transduction involved in conjugation with cellular fusion	4
GO:0032006	BP	regulation of TOR signaling cascade	5
GO:0032007	BP	negative regulation of TOR signaling cascade	5
GO:0032008	BP	positive regulation of TOR signaling cascade	5
GO:0032009	CC	early phagosome	8
GO:0032010	CC	phagolysosome	8
GO:0032011	BP	ARF protein signal transduction	7
GO:0032012	BP	regulation of ARF protein signal transduction	7
GO:0032013	BP	negative regulation of ARF protein signal transduction	7
GO:0032014	BP	positive regulation of ARF protein signal transduction	7
GO:0032015	BP	regulation of Ran protein signal transduction	7
GO:0032016	BP	negative regulation of Ran protein signal transduction	7
GO:0032017	BP	positive regulation of Ran protein signal transduction	7
GO:0032018	MF	2-methylbutanol:NADP oxidoreductase activity	8
GO:0032019	CC	mitochondrial cloud	5
GO:0032020	BP	ISG15-protein conjugation	6
GO:0032021	CC	NELF complex	5
GO:0032022	BP	multicellular pellicle formation	4
GO:0032023	BP	trypsinogen activation	8
GO:0032024	BP	positive regulation of insulin secretion	6
GO:0032025	BP	response to cobalt ion	6
GO:0032026	BP	response to magnesium ion	6
GO:0032027	MF	myosin light chain binding	6
GO:0032028	MF	myosin head/neck binding	7
GO:0032029	MF	myosin tail binding	7
GO:0032030	MF	myosin I light chain binding	7
GO:0032031	MF	myosin I head/neck binding	8
GO:0032032	MF	myosin I tail binding	8
GO:0032033	MF	myosin II light chain binding	7
GO:0032034	MF	myosin II head/neck binding	8
GO:0032035	MF	myosin II tail binding	8
GO:0032036	MF	myosin heavy chain binding	6
GO:0032037	MF	myosin I heavy chain binding	7
GO:0032038	MF	myosin II heavy chain binding	7
GO:0032039	CC	integrator complex	4
GO:0032040	CC	small-subunit processome	5
GO:0032041	MF	NAD-dependent histone deacetylase activity (H3-K14 specific)	8
GO:0032042	BP	mitochondrial DNA metabolic process	6
GO:0032043	BP	mitochondrial DNA catabolic process	7
GO:0032044	CC	DSIF complex	5
GO:0032045	CC	guanyl-nucleotide exchange factor complex	4
GO:0032046	CC	micropexophagy-specific membrane apparatus	5
GO:0032047	CC	mitosome	5
GO:0032048	BP	cardiolipin metabolic process	7
GO:0032049	BP	cardiolipin biosynthetic process	8
GO:0032050	MF	clathrin heavy chain binding	5
GO:0032051	MF	clathrin light chain binding	5
GO:0032052	MF	bile acid binding	5
GO:0032053	BP	microtubule basal body organization	6
GO:0032054	BP	microtubule basal body duplication	7
GO:0032055	BP	negative regulation of translation in response to stress	6
GO:0032056	BP	positive regulation of translation in response to stress	6
GO:0032057	BP	negative regulation of translational initiation in response to stress	5
GO:0032058	BP	positive regulation of translational initiation in response to stress	5
GO:0032059	CC	bleb	4
GO:0032060	BP	bleb assembly	7
GO:0032061	BP	negative regulation of translation in response to osmotic stress	6
GO:0032062	BP	positive regulation of translation in response to osmotic stress	6
GO:0032063	BP	negative regulation of translational initiation in response to osmotic stress	6
GO:0032064	BP	positive regulation of translational initiation in response to osmotic stress	6
GO:0032065	BP	cortical protein anchoring	5
GO:0032066	BP	nucleolus to nucleoplasm transport	6
GO:0032067	MF	Type IV site-specific deoxyribonuclease activity	9
GO:0032068	CC	Type IV site-specific deoxyribonuclease complex	4
GO:0032069	BP	regulation of nuclease activity	6
GO:0032070	BP	regulation of deoxyribonuclease activity	7
GO:0032071	BP	regulation of endodeoxyribonuclease activity	8
GO:0032072	BP	regulation of restriction endodeoxyribonuclease activity	9
GO:0032073	BP	negative regulation of restriction endodeoxyribonuclease activity	10
GO:0032074	BP	negative regulation of nuclease activity	7
GO:0032075	BP	positive regulation of nuclease activity	7
GO:0032076	BP	negative regulation of deoxyribonuclease activity	8
GO:0032077	BP	positive regulation of deoxyribonuclease activity	8
GO:0032078	BP	negative regulation of endodeoxyribonuclease activity	9
GO:0032079	BP	positive regulation of endodeoxyribonuclease activity	9
GO:0032080	BP	negative regulation of Type I site-specific deoxyribonuclease activity	11
GO:0032081	BP	negative regulation of Type II site-specific deoxyribonuclease activity	11
GO:0032082	BP	negative regulation of Type III site-specific deoxyribonuclease activity	11
GO:0032083	BP	negative regulation of Type IV site-specific deoxyribonuclease activity	11
GO:0032084	BP	regulation of Type I site-specific deoxyribonuclease activity	10
GO:0032085	BP	regulation of Type II site-specific deoxyribonuclease activity	10
GO:0032086	BP	regulation of Type III site-specific deoxyribonuclease activity	10
GO:0032087	BP	regulation of Type IV site-specific deoxyribonuclease activity	10
GO:0032088	BP	negative regulation of NF-kappaB transcription factor activity	6
GO:0032089	MF	NACHT domain binding	5
GO:0032090	MF	Pyrin domain binding	5
GO:0032091	BP	negative regulation of protein binding	6
GO:0032092	BP	positive regulation of protein binding	6
GO:0032093	MF	SAM domain binding	5
GO:0032094	BP	response to food	4
GO:0032095	BP	regulation of response to food	5
GO:0032096	BP	negative regulation of response to food	5
GO:0032097	BP	positive regulation of response to food	5
GO:0032098	BP	regulation of appetite	4
GO:0032099	BP	negative regulation of appetite	5
GO:0032100	BP	positive regulation of appetite	5
GO:0032101	BP	regulation of response to external stimulus	4
GO:0032102	BP	negative regulation of response to external stimulus	4
GO:0032103	BP	positive regulation of response to external stimulus	4
GO:0032104	BP	regulation of response to extracellular stimulus	5
GO:0032105	BP	negative regulation of response to extracellular stimulus	5
GO:0032106	BP	positive regulation of response to extracellular stimulus	5
GO:0032107	BP	regulation of response to nutrient levels	6
GO:0032108	BP	negative regulation of response to nutrient levels	6
GO:0032109	BP	positive regulation of response to nutrient levels	6
GO:0032110	BP	regulation of protein histidine kinase activity	8
GO:0032111	BP	activation of protein histidine kinase activity	10
GO:0032112	BP	negative regulation of protein histidine kinase activity	9
GO:0032113	BP	regulation of carbohydrate phosphatase activity	7
GO:0032114	BP	regulation of glucose-6-phosphatase activity	8
GO:0032115	MF	sorbose reductase activity	6
GO:0032116	CC	SMC loading complex	4
GO:0032117	CC	horsetail-astral microtubule array	6
GO:0032118	BP	horsetail-astral microtubule organization	5
GO:0032119	BP	sequestering of zinc ion	5
GO:0032120	BP	ascospore-type prospore membrane assembly	4
GO:0032121	BP	attachment of telomeric heterochromatin to spindle pole body	4
GO:0032122	BP	oral apparatus organization	6
GO:0032123	CC	deep fiber	4
GO:0032124	BP	macronucleus organization	7
GO:0032125	BP	micronucleus organization	7
GO:0032126	CC	eisosome	4
GO:0032127	CC	dense core granule membrane	7
GO:0032128	BP	flocculation via extracellular polymer	4
GO:0032129	MF	histone deacetylase activity (H3-K9 specific)	7
GO:0032130	BP	medial membrane band assembly	4
GO:0032131	MF	alkylated DNA binding	6
GO:0032132	MF	O6-alkylguanine-DNA binding	7
GO:0032133	CC	chromosome passenger complex	5
GO:0032135	MF	DNA insertion or deletion binding	8
GO:0032136	MF	adenine/cytosine mispair binding	8
GO:0032137	MF	guanine/thymine mispair binding	8
GO:0032138	MF	single base insertion or deletion binding	9
GO:0032139	MF	dinucleotide insertion or deletion binding	9
GO:0032140	MF	single adenine insertion binding	10
GO:0032141	MF	single cytosine insertion binding	10
GO:0032142	MF	single guanine insertion binding	10
GO:0032143	MF	single thymine insertion binding	10
GO:0032144	CC	4-aminobutyrate transaminase complex	4
GO:0032145	MF	succinate-semialdehyde dehydrogenase binding	5
GO:0032146	MF	thiosulfate transmembrane-transporting ATPase activity	8
GO:0032147	BP	activation of protein kinase activity	9
GO:0032148	BP	activation of protein kinase B activity	10
GO:0032149	BP	response to rhamnose stimulus	8
GO:0032150	BP	ubiquinone biosynthetic process from chorismate	7
GO:0032151	CC	mitotic septin complex	5
GO:0032152	CC	meiotic septin complex	5
GO:0032153	CC	cell division site	3
GO:0032154	CC	cleavage furrow	4
GO:0032155	CC	cell division site part	3
GO:0032156	CC	septin cytoskeleton	6
GO:0032157	CC	prospore contractile ring	5
GO:0032158	CC	septin band	5
GO:0032159	CC	septin cap	5
GO:0032160	CC	septin filament array	5
GO:0032161	CC	cleavage apparatus septin structure	4
GO:0032162	CC	mating projection septin band	4
GO:0032163	CC	hyphal septin band	6
GO:0032164	CC	hyphal septin cap	6
GO:0032165	CC	prospore septin filament array	6
GO:0032166	CC	chlamydospore septin filament array	6
GO:0032168	CC	hyphal septin ring	6
GO:0032169	CC	prospore septin ring	5
GO:0032170	CC	pseudohyphal septin ring	6
GO:0032171	CC	germ tube septin cap	4
GO:0032172	CC	germ tube septin ring	4
GO:0032173	CC	septin collar	5
GO:0032174	CC	cellular bud neck septin collar	5
GO:0032175	CC	mating projection septin ring	4
GO:0032176	CC	split septin rings	5
GO:0032177	CC	cellular bud neck split septin rings	5
GO:0032178	CC	medial membrane band	4
GO:0032179	CC	germ tube	3
GO:0032180	BP	ubiquinone biosynthetic process from tyrosine	7
GO:0032181	MF	dinucleotide repeat insertion binding	10
GO:0032182	MF	small conjugating protein binding	4
GO:0032183	MF	SUMO binding	5
GO:0032184	MF	SUMO polymer binding	6
GO:0032185	BP	septin cytoskeleton organization	7
GO:0032186	BP	cellular bud neck septin ring organization	4
GO:0032187	BP	contractile ring localization involved in cell cycle cytokinesis	4
GO:0032188	BP	establishment of contractile ring localization involved in cell cycle cytokinesis	5
GO:0032189	BP	maintenance of contractile ring localization involved in cell cycle cytokinesis	5
GO:0032190	MF	acrosin binding	5
GO:0032191	MF	acrosin heavy chain binding	6
GO:0032192	MF	acrosin light chain binding	6
GO:0032193	BP	ubiquinone biosynthetic process via 2-polyprenylphenol	7
GO:0032194	BP	ubiquinone biosynthetic process via 3,4-dihydroxy-5-polyprenylbenzoate	7
GO:0032195	CC	post-lysosomal vacuole	6
GO:0032196	BP	transposition	3
GO:0032197	BP	transposition, RNA-mediated	4
GO:0032198	BP	MITE transposition	4
GO:0032199	BP	reverse transcription involved in RNA-mediated transposition	5
GO:0032200	BP	telomere organization	7
GO:0032201	BP	telomere maintenance via semi-conservative replication	8
GO:0032202	BP	telomere assembly	6
GO:0032203	BP	telomere formation via telomerase	6
GO:0032204	BP	regulation of telomere maintenance	4
GO:0032205	BP	negative regulation of telomere maintenance	4
GO:0032206	BP	positive regulation of telomere maintenance	4
GO:0032207	BP	regulation of telomere maintenance via recombination	5
GO:0032208	BP	negative regulation of telomere maintenance via recombination	5
GO:0032209	BP	positive regulation of telomere maintenance via recombination	5
GO:0032210	BP	regulation of telomere maintenance via telomerase	5
GO:0032211	BP	negative regulation of telomere maintenance via telomerase	5
GO:0032212	BP	positive regulation of telomere maintenance via telomerase	5
GO:0032213	BP	regulation of telomere maintenance via semi-conservative replication	5
GO:0032214	BP	negative regulation of telomere maintenance via semi-conservative replication	5
GO:0032215	BP	positive regulation of telomere maintenance via semi-conservative replication	5
GO:0032216	MF	glucosaminyl-phosphotidylinositol O-acyltransferase activity	7
GO:0032217	MF	riboflavin transporter activity	5
GO:0032218	BP	riboflavin transport	5
GO:0032219	BP	cell wall macromolecule catabolic process involved in cytogamy	4
GO:0032220	BP	plasma membrane fusion involved in cytogamy	4
GO:0032221	CC	Rpd3S complex	7
GO:0032222	BP	regulation of synaptic transmission, cholinergic	6
GO:0032223	BP	negative regulation of synaptic transmission, cholinergic	6
GO:0032224	BP	positive regulation of synaptic transmission, cholinergic	6
GO:0032225	BP	regulation of synaptic transmission, dopaminergic	6
GO:0032226	BP	positive regulation of synaptic transmission, dopaminergic	6
GO:0032227	BP	negative regulation of synaptic transmission, dopaminergic	6
GO:0032228	BP	regulation of synaptic transmission, GABAergic	6
GO:0032229	BP	negative regulation of synaptic transmission, GABAergic	6
GO:0032230	BP	positive regulation of synaptic transmission, GABAergic	6
GO:0032231	BP	regulation of actin filament bundle assembly	4
GO:0032232	BP	negative regulation of actin filament bundle assembly	5
GO:0032233	BP	positive regulation of actin filament bundle assembly	5
GO:0032234	BP	regulation of calcium ion transport via store-operated calcium channel activity	8
GO:0032235	BP	negative regulation of calcium ion transport via store-operated calcium channel activity	6
GO:0032236	BP	positive regulation of calcium ion transport via store-operated calcium channel activity	6
GO:0032237	BP	activation of store-operated calcium channel activity	7
GO:0032238	BP	adenosine transport	6
GO:0032239	BP	regulation of nucleobase-containing compound transport	5
GO:0032240	BP	negative regulation of nucleobase-containing compound transport	4
GO:0032241	BP	positive regulation of nucleobase-containing compound transport	4
GO:0032242	BP	regulation of nucleoside transport	6
GO:0032243	BP	negative regulation of nucleoside transport	5
GO:0032244	BP	positive regulation of nucleoside transport	5
GO:0032245	BP	regulation of purine nucleoside transport	5
GO:0032246	BP	regulation of pyrimidine nucleoside transport	5
GO:0032247	BP	negative regulation of purine nucleoside transport	5
GO:0032248	BP	positive regulation of purine nucleoside transport	5
GO:0032249	BP	regulation of adenosine transport	6
GO:0032250	BP	negative regulation of adenosine transport	6
GO:0032251	BP	positive regulation of adenosine transport	6
GO:0032252	BP	secretory granule localization	6
GO:0032253	BP	dense core granule localization	7
GO:0032254	BP	establishment of secretory granule localization	5
GO:0032255	BP	maintenance of secretory granule location	6
GO:0032256	BP	establishment of dense core granule localization	6
GO:0032257	BP	maintenance of dense core granule location	7
GO:0032258	BP	CVT pathway	7
GO:0032259	BP	methylation	5
GO:0032260	BP	response to jasmonic acid stimulus involved in jasmonic acid and ethylene-dependent systemic resistance	6
GO:0032261	BP	purine nucleotide salvage	7
GO:0032262	BP	pyrimidine nucleotide salvage	7
GO:0032263	BP	GMP salvage	8
GO:0032264	BP	IMP salvage	8
GO:0032265	BP	XMP salvage	8
GO:0032266	MF	phosphatidylinositol-3-phosphate binding	6
GO:0032267	MF	tRNA(Ile)-lysidine synthase activity	5
GO:0032268	BP	regulation of cellular protein metabolic process	5
GO:0032269	BP	negative regulation of cellular protein metabolic process	5
GO:0032270	BP	positive regulation of cellular protein metabolic process	5
GO:0032271	BP	regulation of protein polymerization	4
GO:0032272	BP	negative regulation of protein polymerization	4
GO:0032273	BP	positive regulation of protein polymerization	4
GO:0032274	BP	gonadotropin secretion	6
GO:0032275	BP	luteinizing hormone secretion	7
GO:0032276	BP	regulation of gonadotropin secretion	5
GO:0032277	BP	negative regulation of gonadotropin secretion	5
GO:0032278	BP	positive regulation of gonadotropin secretion	5
GO:0032279	CC	asymmetric synapse	3
GO:0032280	CC	symmetric synapse	3
GO:0032281	CC	alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid selective glutamate receptor complex	5
GO:0032282	CC	plastid acetyl-CoA carboxylase complex	5
GO:0032283	CC	plastid acetate CoA-transferase complex	5
GO:0032284	CC	plastid biotin carboxylase complex	5
GO:0032285	BP	non-myelinated axon ensheathment	5
GO:0032286	BP	central nervous system myelin maintenance	6
GO:0032287	BP	peripheral nervous system myelin maintenance	6
GO:0032288	BP	myelin assembly	5
GO:0032289	BP	central nervous system myelin formation	6
GO:0032290	BP	peripheral nervous system myelin formation	6
GO:0032291	BP	axon ensheathment in central nervous system	5
GO:0032292	BP	peripheral nervous system axon ensheathment	5
GO:0032293	BP	non-myelinated axon ensheathment in central nervous system	6
GO:0032294	BP	peripheral nervous system non-myelinated axon ensheathment	6
GO:0032295	BP	ensheathment of neuronal cell bodies	4
GO:0032296	MF	double-stranded RNA-specific ribonuclease activity	7
GO:0032297	BP	negative regulation of DNA-dependent DNA replication initiation	7
GO:0032298	BP	positive regulation of DNA-dependent DNA replication initiation	7
GO:0032299	CC	ribonuclease H2 complex	4
GO:0032300	CC	mismatch repair complex	4
GO:0032301	CC	MutSalpha complex	5
GO:0032302	CC	MutSbeta complex	5
GO:0032303	BP	regulation of icosanoid secretion	6
GO:0032304	BP	negative regulation of icosanoid secretion	5
GO:0032305	BP	positive regulation of icosanoid secretion	5
GO:0032306	BP	regulation of prostaglandin secretion	7
GO:0032307	BP	negative regulation of prostaglandin secretion	6
GO:0032308	BP	positive regulation of prostaglandin secretion	6
GO:0032309	BP	icosanoid secretion	5
GO:0032310	BP	prostaglandin secretion	6
GO:0032311	CC	angiogenin-PRI complex	3
GO:0032312	BP	regulation of ARF GTPase activity	8
GO:0032313	BP	regulation of Rab GTPase activity	8
GO:0032314	BP	regulation of Rac GTPase activity	8
GO:0032315	BP	regulation of Ral GTPase activity	8
GO:0032316	BP	regulation of Ran GTPase activity	8
GO:0032317	BP	regulation of Rap GTPase activity	8
GO:0032318	BP	regulation of Ras GTPase activity	7
GO:0032319	BP	regulation of Rho GTPase activity	8
GO:0032320	BP	positive regulation of Ras GTPase activity	8
GO:0032321	BP	positive regulation of Rho GTPase activity	9
GO:0032322	BP	ubiquinone catabolic process	6
GO:0032323	BP	lipoate catabolic process	6
GO:0032324	BP	molybdopterin cofactor biosynthetic process	6
GO:0032325	BP	molybdopterin cofactor catabolic process	6
GO:0032326	BP	Mo-molybdopterin cofactor catabolic process	6
GO:0032327	BP	W-molybdopterin cofactor catabolic process	7
GO:0032328	BP	alanine transport	8
GO:0032329	BP	serine transport	8
GO:0032330	BP	regulation of chondrocyte differentiation	5
GO:0032331	BP	negative regulation of chondrocyte differentiation	5
GO:0032332	BP	positive regulation of chondrocyte differentiation	5
GO:0032333	BP	activin secretion	5
GO:0032334	BP	inhibin secretion	6
GO:0032335	BP	regulation of activin secretion	5
GO:0032336	BP	negative regulation of activin secretion	5
GO:0032337	BP	positive regulation of activin secretion	5
GO:0032338	BP	regulation of inhibin secretion	5
GO:0032339	BP	negative regulation of inhibin secretion	5
GO:0032340	BP	positive regulation of inhibin secretion	5
GO:0032341	BP	aldosterone metabolic process	7
GO:0032342	BP	aldosterone biosynthetic process	7
GO:0032343	BP	aldosterone catabolic process	7
GO:0032344	BP	regulation of aldosterone metabolic process	5
GO:0032345	BP	negative regulation of aldosterone metabolic process	5
GO:0032346	BP	positive regulation of aldosterone metabolic process	5
GO:0032347	BP	regulation of aldosterone biosynthetic process	6
GO:0032348	BP	negative regulation of aldosterone biosynthetic process	6
GO:0032349	BP	positive regulation of aldosterone biosynthetic process	6
GO:0032350	BP	regulation of hormone metabolic process	4
GO:0032351	BP	negative regulation of hormone metabolic process	4
GO:0032352	BP	positive regulation of hormone metabolic process	4
GO:0032353	BP	negative regulation of hormone biosynthetic process	5
GO:0032354	BP	response to follicle-stimulating hormone stimulus	6
GO:0032355	BP	response to estradiol stimulus	7
GO:0032356	MF	oxidized DNA binding	6
GO:0032357	MF	oxidized purine DNA binding	7
GO:0032358	MF	oxidized pyrimidine DNA binding	7
GO:0032359	BP	provirus excision	4
GO:0032360	BP	provirus maintenance	4
GO:0032361	BP	pyridoxal phosphate catabolic process	5
GO:0032362	BP	FAD catabolic process	8
GO:0032363	BP	FMN catabolic process	7
GO:0032364	BP	oxygen homeostasis	7
GO:0032365	BP	intracellular lipid transport	5
GO:0032366	BP	intracellular sterol transport	6
GO:0032367	BP	intracellular cholesterol transport	7
GO:0032368	BP	regulation of lipid transport	5
GO:0032369	BP	negative regulation of lipid transport	4
GO:0032370	BP	positive regulation of lipid transport	4
GO:0032371	BP	regulation of sterol transport	6
GO:0032372	BP	negative regulation of sterol transport	5
GO:0032373	BP	positive regulation of sterol transport	5
GO:0032374	BP	regulation of cholesterol transport	7
GO:0032375	BP	negative regulation of cholesterol transport	6
GO:0032376	BP	positive regulation of cholesterol transport	6
GO:0032377	BP	regulation of intracellular lipid transport	6
GO:0032378	BP	negative regulation of intracellular lipid transport	5
GO:0032379	BP	positive regulation of intracellular lipid transport	5
GO:0032380	BP	regulation of intracellular sterol transport	7
GO:0032381	BP	negative regulation of intracellular sterol transport	6
GO:0032382	BP	positive regulation of intracellular sterol transport	6
GO:0032383	BP	regulation of intracellular cholesterol transport	8
GO:0032384	BP	negative regulation of intracellular cholesterol transport	7
GO:0032385	BP	positive regulation of intracellular cholesterol transport	7
GO:0032386	BP	regulation of intracellular transport	5
GO:0032387	BP	negative regulation of intracellular transport	4
GO:0032388	BP	positive regulation of intracellular transport	4
GO:0032389	CC	MutLalpha complex	5
GO:0032390	CC	MutLbeta complex	5
GO:0032391	CC	photoreceptor connecting cilium	7
GO:0032392	BP	DNA geometric change	7
GO:0032393	MF	MHC class I receptor activity	5
GO:0032394	MF	MHC class Ib receptor activity	5
GO:0032395	MF	MHC class II receptor activity	5
GO:0032396	MF	inhibitory MHC class I receptor activity	6
GO:0032397	MF	activating MHC class I receptor activity	6
GO:0032398	CC	MHC class Ib protein complex	5
GO:0032399	MF	HECT domain binding	5
GO:0032400	BP	melanosome localization	5
GO:0032401	BP	establishment of melanosome localization	6
GO:0032402	BP	melanosome transport	5
GO:0032403	MF	protein complex binding	4
GO:0032404	MF	mismatch repair complex binding	5
GO:0032405	MF	MutLalpha complex binding	6
GO:0032406	MF	MutLbeta complex binding	6
GO:0032407	MF	MutSalpha complex binding	6
GO:0032408	MF	MutSbeta complex binding	6
GO:0032409	BP	regulation of transporter activity	4
GO:0032410	BP	negative regulation of transporter activity	4
GO:0032411	BP	positive regulation of transporter activity	4
GO:0032412	BP	regulation of ion transmembrane transporter activity	6
GO:0032413	BP	negative regulation of ion transmembrane transporter activity	5
GO:0032414	BP	positive regulation of ion transmembrane transporter activity	5
GO:0032415	BP	regulation of sodium:hydrogen antiporter activity	7
GO:0032416	BP	negative regulation of sodium:hydrogen antiporter activity	7
GO:0032417	BP	positive regulation of sodium:hydrogen antiporter activity	7
GO:0032418	BP	lysosome localization	5
GO:0032419	CC	extrinsic to lysosome membrane	6
GO:0032420	CC	stereocilium	3
GO:0032421	CC	stereocilium bundle	5
GO:0032422	MF	purine-rich negative regulatory element binding	6
GO:0032423	BP	regulation of mismatch repair	7
GO:0032424	BP	negative regulation of mismatch repair	6
GO:0032425	BP	positive regulation of mismatch repair	6
GO:0032426	CC	stereocilium bundle tip	4
GO:0032427	MF	GBD domain binding	5
GO:0032428	MF	beta-N-acetylgalactosaminidase activity	8
GO:0032429	BP	regulation of phospholipase A2 activity	8
GO:0032430	BP	positive regulation of phospholipase A2 activity	9
GO:0032431	BP	activation of phospholipase A2 activity	10
